month,anomaly,cleaned,duplicate,validation
2012-01,1,1542,16,0
2012-02,1,1603,24,1
2012-03,0,0,0,2360
2012-04,0,0,0,2155
2012-05,0,0,0,2323
2012-06,1,1959,31,2
2012-07,1,2134,42,2
2012-08,0,2019,53,3
2012-09,3,1732,24,1
2012-10,1,1890,41,5
2012-11,1,1711,23,0
2012-12,2,1470,19,2
2013-01,2,1605,25,1
2013-02,5,875,6,0
2013-03,3,1283,16,4
2013-04,3,1651,37,1
2013-05,4,1578,22,1
2013-06,0,1299,16,2
2013-07,3,1460,20,1
2013-08,4,1322,26,2
2013-09,6,1197,9,0
2013-10,2,1367,20,2
2013-11,2,1189,17,1
2013-12,2,993,12,1
2014-01,3,1085,10,0
2014-02,0,945,14,0
2014-03,4,1400,33,7
2014-04,3,1454,87,13
2014-05,1,1301,136,9
2014-06,3,1180,33,7
2014-07,3,1322,16,11
2014-08,0,1301,18,10
2014-09,3,1438,23,8
2014-10,0,1528,19,13
2014-11,1,1324,20,6
2014-12,0,1284,15,5
2015-01,5,1217,15,13
2015-02,0,1119,11,21
2015-03,2,1315,17,14
2015-04,2,1586,24,18
2015-05,1,1530,17,19
2015-06,1,1666,22,17
2015-07,5,1523,14,9
2015-08,3,1412,19,15
2015-09,0,1465,19,14
2015-10,3,1703,27,15
2015-11,2,1441,13,14
2015-12,4,1383,16,9
2016-01,5,1255,14,6
2016-02,3,1177,6,14
2016-03,1,1614,20,20
2016-04,4,1764,33,23
2016-05,2,1770,28,29
2016-06,3,1770,30,24
2016-07,3,1536,13,20
2016-08,3,1832,22,25
2016-09,6,1604,25,33
2016-10,8,1614,26,30
2016-11,2,1532,18,28
2016-12,2,1343,11,22
