column,value,rows
flat_model,DBSS,277
flat_model,TYPE S1,138
flat_model,TYPE S2,55
flat_model,IMPROVED-MAISONETTE,10
flat_model,PREMIUM MAISONETTE,6
flat_model,PREMIUM APARTMENT LOFT,5
flat_model,2-ROOM,1
storey_range,01 TO 05,2700
storey_range,06 TO 10,2474
storey_range,11 TO 15,1259
storey_range,16 TO 20,265
storey_range,21 TO 25,92
storey_range,37 TO 39,81
storey_range,26 TO 30,39
storey_range,40 TO 42,38
storey_range,46 TO 48,8
storey_range,43 TO 45,8
storey_range,36 TO 40,7
storey_range,49 TO 51,2
storey_range,31 TO 35,2
